,league,team
0,Bundesliga,Bayern Munich
1,Bundesliga,Borussia Dortmund
4,Bundesliga,RasenBallsport Leipzig
2,Bundesliga,Bayer Leverkusen
8,Bundesliga,Borussia M.Gladbach
5,Bundesliga,Wolfsburg
6,Bundesliga,Eintracht Frankfurt
7,Bundesliga,Werder Bremen
3,Bundesliga,Hoffenheim
10,Bundesliga,Fortuna Duesseldorf
11,Bundesliga,Hertha Berlin
13,Bundesliga,Mainz 05
12,Bundesliga,Freiburg
14,Bundesliga,Schalke 04
9,Bundesliga,Augsburg
15,Bundesliga,VfB Stuttgart
16,Bundesliga,Hannover 96
17,Bundesliga,Nuernberg
0,EPL,Manchester City
1,EPL,Liverpool
5,EPL,Chelsea
3,EPL,Tottenham
2,EPL,Arsenal
4,EPL,Manchester United
12,EPL,Wolverhampton Wanderers
7,EPL,Everton
9,EPL,West Ham
10,EPL,Leicester
8,EPL,Watford
11,EPL,Crystal Palace
15,EPL,Newcastle United
6,EPL,Bournemouth
13,EPL,Burnley
14,EPL,Southampton
16,EPL,Brighton
17,EPL,Cardiff
18,EPL,Fulham
19,EPL,Huddersfield
0,La_liga,Barcelona
4,La_liga,Atletico Madrid
1,La_liga,Real Madrid
6,La_liga,Valencia
2,La_liga,Sevilla
9,La_liga,Getafe
8,La_liga,Espanyol
15,La_liga,Athletic Club
11,La_liga,Real Sociedad
16,La_liga,Alaves
12,La_liga,Real Betis
10,La_liga,Eibar
18,La_liga,Leganes
3,La_liga,Levante
7,La_liga,Villarreal
5,La_liga,Celta Vigo
19,La_liga,Real Valladolid
17,La_liga,Girona
13,La_liga,SD Huesca
14,La_liga,Rayo Vallecano
0,Ligue_1,Paris Saint Germain
2,Ligue_1,Lille
1,Ligue_1,Lyon
4,Ligue_1,Saint-Etienne
3,Ligue_1,Marseille
8,Ligue_1,Montpellier
17,Ligue_1,Nice
11,Ligue_1,Reims
6,Ligue_1,Nimes
7,Ligue_1,Rennes
5,Ligue_1,Strasbourg
9,Ligue_1,Nantes
10,Ligue_1,Angers
14,Ligue_1,Bordeaux
13,Ligue_1,Toulouse
15,Ligue_1,Amiens
12,Ligue_1,Monaco
16,Ligue_1,Dijon
18,Ligue_1,Caen
19,Ligue_1,Guingamp
2,Serie_A,Juventus
1,Serie_A,Napoli
0,Serie_A,Atalanta
5,Serie_A,Inter
7,Serie_A,AC Milan
3,Serie_A,Roma
9,Serie_A,Torino
6,Serie_A,Lazio
4,Serie_A,Sampdoria
11,Serie_A,Bologna
8,Serie_A,Sassuolo
16,Serie_A,Udinese
13,Serie_A,SPAL 2013
12,Serie_A,Fiorentina
17,Serie_A,Cagliari
14,Serie_A,Parma Calcio 1913
15,Serie_A,Genoa
10,Serie_A,Empoli
18,Serie_A,Frosinone
19,Serie_A,Chievo
